drug_A,drug_B,DDI
DB01154,DB06268,0
DB01611,DB01029,0
DB00343,DB13867,0
DB08496,DB06670,0
DB13443,DB09224,0
DB00794,DB01241,0
DB01320,DB00451,0
DB01195,DB00972,0
DB06203,DB01069,0
DB09048,DB08811,0
DB00758,DB00588,0
DB01396,DB00717,0
DB06735,DB00490,0
DB01242,DB01094,0
DB00843,DB00625,0
DB00297,DB01142,0
DB06212,DB13409,0
DB06738,DB00744,0
DB02489,DB00619,0
DB00277,DB09065,0
DB00489,DB09204,0
DB00216,DB01211,0
DB06769,DB14635,0
DB00613,DB00295,0
DB00586,DB12319,0
DB01268,DB01093,0
DB00932,DB09330,0
DB01029,DB08912,0
DB08875,DB00420,0
DB00590,DB01156,0
DB00433,DB00482,0
DB06697,DB00784,0
DB04356,DB02568,0
DB14541,DB01098,0
DB00675,DB05482,0
DB00864,DB01216,0
DB00320,DB01095,0
DB01256,DB06174,0
DB00783,DB00969,0
DB09102,DB00333,0
DB02703,DB00349,0
DB01151,DB01075,0
DB00972,DB00382,0
DB12371,DB01085,0
DB01217,DB08901,0
DB06772,DB00668,0
DB01174,DB00471,0
DB00998,DB00619,0
DB08808,DB00574,0
DB04908,DB09245,0
DB11718,DB01075,0
DB00482,DB12332,0
DB01289,DB00622,0
DB00091,DB12332,0
DB08873,DB14635,0
DB04829,DB06819,0
DB01002,DB01388,0
DB14540,DB00458,0
DB00318,DB00285,0
DB09053,DB00196,0
DB06414,DB00715,0
DB14540,DB14011,0
DB11967,DB01628,0
DB09195,DB01023,0
DB04844,DB01359,0
DB04725,DB01241,0
DB08496,DB00327,0
DB11586,DB00613,0
DB12161,DB00675,0
DB09030,DB01259,0
DB01177,DB08798,0
DB12926,DB00544,0
DB00518,DB01424,0
DB12267,DB01076,0
DB04557,DB00980,0
DB06480,DB00951,0
DB01203,DB00932,0
DB07954,DB08972,0
DB04856,DB01126,0
DB08901,DB01621,0
DB01076,DB00872,0
DB01238,DB11475,0
DB00683,DB00401,0
DB13508,DB00342,0
DB09200,DB01132,0
DB08922,DB01138,0
DB11586,DB00374,0
DB01131,DB00531,0
DB04938,DB01039,0
DB01100,DB00489,0
DB00321,DB13174,0
DB13762,DB01110,0
DB00528,DB00588,0
DB00543,DB01087,0
