drug_A,drug_B,DDI
DB00714,DB04725,0
DB00365,DB00296,0
DB08893,DB11837,0
DB00304,DB00322,0
DB01628,DB00827,0
DB01192,DB05812,0
DB01248,DB00836,0
DB12515,DB01656,0
DB01058,DB01182,0
DB05109,DB00317,0
DB01411,DB01039,0
DB01435,DB00295,0
DB00365,DB00176,0
DB06210,DB00435,0
DB00734,DB00199,0
DB04889,DB00528,0
DB00532,DB00501,0
DB04898,DB01036,0
DB02134,DB00642,0
DB00694,DB12001,0
DB06176,DB00254,0
DB01115,DB00980,0
DB00197,DB00752,0
DB00814,DB00532,0
DB01590,DB01071,0
DB00914,DB00752,0
DB13943,DB05812,0
DB13954,DB01132,0
DB01232,DB01411,0
DB01580,DB01026,0
DB01039,DB09309,0
DB05294,DB08896,0
DB00214,DB00745,0
DB00717,DB09231,0
DB00304,DB00582,0
DB09039,DB12010,0
DB14539,DB00404,0
DB00629,DB00316,0
DB04889,DB01238,0
DB04841,DB01184,0
DB09201,DB00549,0
DB13757,DB01410,0
DB12952,DB09330,0
DB00238,DB00220,0
DB06448,DB00568,0
DB13955,DB00497,0
DB01100,DB00629,0
DB09128,DB01388,0
DB00799,DB00619,0
DB00980,DB00673,0
DB06772,DB00353,0
DB13946,DB04957,0
DB14539,DB06267,0
DB00370,DB11963,0
DB06448,DB01251,0
DB00398,DB00208,0
DB12752,DB04868,0
DB13775,DB13174,0
DB13775,DB00356,0
DB14010,DB00184,0
DB00997,DB00320,0
DB08952,DB00349,0
DB00862,DB01406,0
DB12371,DB01036,0
DB01411,DB00358,0
DB02703,DB00220,0
DB00568,DB00553,0
DB11574,DB00582,0
DB01403,DB09065,0
DB01191,DB01241,0
DB00471,DB01104,0
DB00799,DB01009,0
DB00461,DB00220,0
DB00908,DB00254,0
DB14542,DB04957,0
DB12001,DB09071,0
DB09299,DB01151,0
DB06603,DB00353,0
DB00563,DB00696,0
DB09071,DB00343,0
DB12015,DB00705,0
DB01177,DB01218,0
DB01191,DB11642,0
DB01472,DB13874,0
DB00564,DB12532,0
DB01261,DB00622,0
DB08873,DB00476,0
DB00731,DB00425,0
DB13874,DB01236,0
DB05109,DB01355,0
DB01580,DB00679,0
DB12141,DB09309,0
DB00250,DB00263,0
DB00476,DB00433,0
DB00637,DB00757,0
DB00559,DB09167,0
DB00788,DB00744,0
DB00470,DB06595,0
DB01978,DB13338,0
DB09570,DB01268,0
DB01410,DB01267,0
DB09039,DB06119,0
DB08873,DB06595,0
DB00266,DB06595,0
DB01435,DB13174,0
DB06608,DB01036,0
DB06595,DB01183,0
DB14010,DB09254,0
DB08828,DB00220,0
DB01104,DB01110,0
DB11652,DB04572,0
DB01016,DB00752,0
DB01297,DB00863,0
DB08910,DB01166,0
DB11823,DB06652,0
DB00377,DB06727,0
DB09273,DB00499,0
